,Ttile,Summmary,DateTime,URL
1,"D-Street Buzz: Auto stocks rally led by Maruti; Axis Bank, Bharti Airtel jump 9%","Among the auto names Maruti Suzuki jumped almost 10 percent and is the top index gainer followed by Bosch, Motherson Sumi, MRF, Mahindra & Mahindra, Eicher Motors and Tata Motors.
Banks are also trading in the green with Axis Bank jumping 9 percent while HDFC Bank gained 5 percent.
The other gainers included Bank of Baroda, Kotak Mahindra Bank and RBL Bank.
The most active stocks include Axis Bank, Reliance Industries, HDFC, HDFC Bank and ICICI Bank.
: Reliance Industries Ltd. is the sole beneficiary of Independent Media Trust which controls Network18 Media & Investments Ltd.",2020-03-25T07:33:00Z,https://www.news.google.com/./articles/CBMijAFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvYnVzaW5lc3MvbWFya2V0cy9kLXN0cmVldC1idXp6LWF1dG8tc3RvY2tzLXJhbGx5LWxlZC1ieS1tYXJ1dGktYXhpcy1iYW5rLWJoYXJ0aS1haXJ0ZWwtanVtcC05LTUwNzEwMzEuaHRtbNIBkAFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvYnVzaW5lc3MvbWFya2V0cy9kLXN0cmVldC1idXp6LWF1dG8tc3RvY2tzLXJhbGx5LWxlZC1ieS1tYXJ1dGktYXhpcy1iYW5rLWJoYXJ0aS1haXJ0ZWwtanVtcC05LTUwNzEwMzEuaHRtbC9hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen
2,"As Flipkart Suspends Operations, What Its Internal Memo To Staff Said","India coronavirus lockdown: Flipkart said it will ""evaluate how to get supply chains backE-tailer Flipkart today said it has temporarily suspended its operations and services -- including grocery items -- as India enters a 21-day lockdown.
""Flipkart has temporarily suspended orders as we assess the possibilities of operating in the lockdown.
The company also posted on its website: ""These are difficult times, times like no other.
In an internal email sent to employees, Adarsh Menon, who is senior vice president at Flipkart, wrote that senior executives will ""evaluate how to get supply chains back in consultation with government and stakeholders but as of now the platform will not accept any orders"".
""This also means that we have to temporarily stop taking orders and disable shipments for lower-priority products.",2020-03-25T08:25:55Z,https://www.news.google.com/./articles/CAIiEJlS1axRVl6L70exv2fhTTgqGQgEKhAIACoHCAowj8n_CjDIrfkCMNKc6AU?hl=en-IN&gl=IN&ceid=IN%3Aen
3,Coronavirus Outbreak: Experts peg India's cost of lockdown at Rs 9 lakh cr or 4% of GDP,"Mumbai: Pegging the cost of the COVID-19 lockdown at $120 billion (approximately Rs 9 lakh crore) or 4 percent of the GDP, analysts on Wednesday sharply cut their growth estimates and stressed on the need to announce an economic package.
Prime Minister Narendra Modi announced a three-week complete lockdown of the country to prevent the spread of the coronavirus infections in the country.
It specified the cost of the three-week nationwide lockdown to be alone at $90 billion, which is over and above the lockdowns announced by various states like Maharashtra earlier.
“The Indian government has so far been largely silent on the economic impact from the lockdown, leave alone any measures to cushion the hit,” it said.
Updated Date: Mar 25, 2020 12:42:13 ISTTags : Coronavirus, COVID-19, Economic Package, Fiscal Deficit, GDP, Lockdown, NewsTracker, RBI, Repo Rate Cuts, Stimulus",2020-03-25T07:25:28Z,https://www.news.google.com/./articles/CAIiELhkxJFAv7cKrWAi2VzoTdIqFwgEKg8IACoHCAow5v6PATDrwA8wzuge?hl=en-IN&gl=IN&ceid=IN%3Aen
4,Coronavirus impact | Companies cite 'Act of God' clause; seek relief in loan repayments: Report,"Hit by the novel coronavirus, or COVID-19, outbreak, real estate, tourism and hospitality companies have sought relief in loan repayments, citing the 'Act of God' clause, The Economic Times reported.
Travel restrictions over the past month has hurt the tourism and hospitality industries hard.
To catch all live updates on the coronavirus pandemic, click here…Moneycontrol could not independently verify the story.
“We have started receiving requests from several companies citing “Act of God” clause to restructure loans and provid leeway in repayments.
Lenders are seeking an industry wide asset classification forbearance from the Reserve Bank of India (RBI), the report added.",2020-03-25T08:18:59Z,https://www.news.google.com/./articles/CAIiEPKE0djowAIo3qbTB-OxMS4qGQgEKhAIACoHCAowlbCPCzCrzaIDMLL1zQY?hl=en-IN&gl=IN&ceid=IN%3Aen
5,Reliance Jio to pay salary twice a month to these employees,"Reliance Industries is one of them and has announced several measures for its employees, general public and its customers.
The Mukesh Ambani-led conglomerate issued a statement where it said that all employees who are earning below Rs 30,000 per month will be paid twice a month.
“For those earning below₹30,000 per month, salaries will be paid twice a month to protect their cashflow and mitigate any overwhelming financial burden,” said the company in a statement.
As far as Reliance Jio is concerned, the company said that Jio “will provide Basic JioFiber broadband connectivity (10 Mbps), wherever it is geographically feasible, without any service charges, for this period.
Jio will also provide home gateway routers with a minimum refundable deposit.”Further, for all existing JioFiber subscribers, Jio will provide double data across all plans.",2020-03-25T07:24:01Z,https://www.news.google.com/./articles/CAIiEM8T7tNaCjDrCX2JX8ajpoYqGQgEKhAIACoHCAowv9f9CjCs1fUCMNfb8wU?hl=en-IN&gl=IN&ceid=IN%3Aen
6,"Coronavirus: Automotive industry stares at Rs 48,000 crore loss as govt declares 21-day lockdown","Download The Times of India News App for Latest Business NewsSubscribe Start Your Daily Mornings with Times of India Newspaper!
Order NowNEW DELHI: The closure of manufacturing plants by various automakers and component manufacturers due to coronavirus pandemic would lead to a revenue loss of over Rs 2,300 crore per day, said auto industry body SIAM on Tuesday.Prime Minister Narendra Modi announcing a 21-day nation-wide lockdown , starting Tuesday, in order to curb the spread of the coronavirus adds to the worries of car and component makers.
A three-week shut down of the automotive industry will translate into a revenue loss of Rs 48,300 crore.“As per quick estimates by SIAM, it is expected that plant closure of Auto OEMs & Components will lead to loss of more than Rs 2,300 crores in turnover for each day of closure,” Rajan Wadhera , president, on the automotive body said.All major automakers including Maruti Suzuki, Hyundai, Honda, Mahindra, Toyota Kirloskar Motor , Tata Motors, Kia Motors and MG Motor India have announced a temporary shutdown of plants.Similarly, two-wheeler manufacturers like Hero MotoCorp , Honda Motorcycle and Scooter India, TVS Motor Company, Bajaj Auto, Yamaha and Suzuki Motorcycle have also suspended production.Besides, tyre makers and other major auto component makers too have shut down manufacturing activities due to the coronavirus outbreak.
""If we don't handle these 21 days well, then our country, your family will go backwards by 21 years,"" PM Modi said while addressing the nation.There will be a complete bar on people from stepping outsides their homes, the Prime Minister said and even folded his hands to emphasise his request to citizens to adhere to the call.Experts and the experience of countries fighting the deadly virus make it clear that the social distancing is the only way to combat the disease, he asserted.The death toll due to coronavirus has crossed 17,000 globally.
Over 500 positive cases have been reported in India with the death toll nearing double digits so far.",2020-03-24T22:43:49Z,https://www.news.google.com/./articles/CAIiEPKr2JYRZLyR4p4-phkReCgqGQgEKhAIACoHCAowzrL9CjDC7vQCMJCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen
7,Confused which stocks to pick after the rout? Buy all of them. Here's how!,"As stock valuations have fallen to multi-year lows after a brisk, across-the-board selloff, there could not be a better time to buy stocks for long-term investment.
The new fund offers opened on March 24 and will close on March 31.Motilal Oswal AMC is planning to launch a S&P500 index fund.
So, it is a simple strategy,” Jain said.Passively-managed exchange traded funds or index funds seek to replicate the performance of a benchmark index they track.
“We see index funds as part of a prudent investment design and suitable for both first-time as well as seasoned investors.
Index funds are simple, low-cost products.",2020-03-25T04:23:22Z,https://www.news.google.com/./articles/CAIiELluvhztqvxjAXh0F0QztLkqGQgEKhAIACoHCAow2pqGCzD954MDMJzyigY?hl=en-IN&gl=IN&ceid=IN%3Aen
8,Amazon gives part-time warehouse workers paid time off after a group of them fought for it,"Amazon is offering paid time off for thousands of warehouse employees after workers pushed for the benefits.
An Amazon spokesperson declined to say what percentage of warehouse workers are part-time employees.
DCH1 Amazonians United, an employee advocacy group based in Chicago, began pressuring Amazon to give delivery workers paid time off after workers in Sacramento circulated a petition calling for those benefits.
Warehouse workers have also called out Amazon for putting workers at risk during the coronavirus and circulated a petition urging it to give workers paid leave.
Prior to giving workers PTO, Amazon had announced other benefits changes.",2020-03-23T23:36:55Z,https://www.news.google.com/./articles/CAIiEJmvybEmw9CBxiIrgWZUAm4qGQgEKhAIACoHCAow2Nb3CjDivdcCMP3ungY?hl=en-IN&gl=IN&ceid=IN%3Aen
9,"These plans by Jio, Vodafone and Airtel offer 2GB data per day under Rs 1000","In this article, we would focus on some of the plans that offer 2GB data per day but are priced under Rs 1000.
VodafoneVodafone has many plans under Rs 1000 just like Airtel and Jio but we are focusing on plans offering 2GB data per day.
So Vodafone has three such plans that offer the above-mentioned internet benefit and the plans are Rs 299, Rs 449 and Rs 699 data packs.
Now coming to the 2GB per day data packs, Airtel also has three postpaid plans offering the data benefits such as Rs 298, Rs 349, Rs 449.
Jio presently has three plans that offer 2GB data per day such as Rs 249, Rs 444 and Rs 549.",2020-03-25T03:52:09Z,https://www.news.google.com/./articles/CAIiEJHMIxm3tBulEDrC8kV3pq4qGQgEKhAIACoHCAowot7cCjD8xM4BMJTu8gU?hl=en-IN&gl=IN&ceid=IN%3Aen
10,"Don’t panic, stay invested: What to keep in mind for your money during Covid-19 outbreak","Undeniably, equity market across the globe were overvalued not so long ago.
Given this unknown, the extent of the market correction too remains unclear.
Ideally, there needs be no change in long-term equity investments; historical data shows that the time and pace of recovery, just like that of a slump cannot be predicted.
The market correction can carry on for longer than people think; in the 2008 market correction, the bottom was hit three times.
In an economy driven by credit, there are many who have housing loans, car loans and even loans for consumer durables.",2020-03-25T03:47:38Z,https://www.news.google.com/./articles/CAIiEByXwCU9XqCsHXU5_9C63XcqFggEKg4IACoGCAoww7k_MMevCDDE2QE?hl=en-IN&gl=IN&ceid=IN%3Aen
