,Ttile,Summmary,DateTime,URL
1,"Markets Live: Sensex surges 1,800 pts, Nifty reclaims 8,300; RIL surges most in over a decade","The most active stocks include Axis Bank, Reliance Industries, HDFC, HDFC Bank and ICICI Bank.",2020-03-25T07:33:00Z,https://www.news.google.com/./articles/CBMijAFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvYnVzaW5lc3MvbWFya2V0cy9kLXN0cmVldC1idXp6LWF1dG8tc3RvY2tzLXJhbGx5LWxlZC1ieS1tYXJ1dGktYXhpcy1iYW5rLWJoYXJ0aS1haXJ0ZWwtanVtcC05LTUwNzEwMzEuaHRtbNIBkAFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvYnVzaW5lc3MvbWFya2V0cy9kLXN0cmVldC1idXp6LWF1dG8tc3RvY2tzLXJhbGx5LWxlZC1ieS1tYXJ1dGktYXhpcy1iYW5rLWJoYXJ0aS1haXJ0ZWwtanVtcC05LTUwNzEwMzEuaHRtbC9hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen
2,"Coronavirus Lockdown: Amazon Stops Taking New Orders, Flipkart Suspends Services","India coronavirus lockdown: Flipkart said it will ""evaluate how to get supply chains back",2020-03-25T08:25:55Z,https://www.news.google.com/./articles/CAIiEJlS1axRVl6L70exv2fhTTgqGQgEKhAIACoHCAowj8n_CjDIrfkCMNKc6AU?hl=en-IN&gl=IN&ceid=IN%3Aen
3,How will India lockdown play out for economy & markets: 4 scenarios,"Pegging the cost of the COVID-19 lockdown at $120 billion (approximately Rs 9 lakh crore) or 4 percent of the GDP, analysts on Wednesday sharply cut their ...",2020-03-25T07:25:28Z,https://www.news.google.com/./articles/CAIiELhkxJFAv7cKrWAi2VzoTdIqFwgEKg8IACoHCAow5v6PATDrwA8wzuge?hl=en-IN&gl=IN&ceid=IN%3Aen
4,None,None,None,None
5,"Reliance to pay twice to those employees who earn below ₹30,000",The Mukesh Ambani-led conglomerate issued a statement where it said that all employees who are earning below Rs 30000 per month will be paid twice a ...,2020-03-25T07:24:01Z,https://www.news.google.com/./articles/CAIiEM8T7tNaCjDrCX2JX8ajpoYqGQgEKhAIACoHCAowv9f9CjCs1fUCMNfb8wU?hl=en-IN&gl=IN&ceid=IN%3Aen
6,Coronavirus Pandemic: SIAM Welcomes Finance Minister's New Announcements For Relaxation Of Norms,India Business News: The closure of manufacturing plants by various automakers and component manufacturers due to coronavirus pandemic would lead to a ...,2020-03-24T22:43:49Z,https://www.news.google.com/./articles/CAIiEPKr2JYRZLyR4p4-phkReCgqGQgEKhAIACoHCAowzrL9CjDC7vQCMJCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen
7,"Jeff Bezos, Larry Fink, and other top US execs dodged $1.9 billion in losses by selling their own stock as the",play_arrow,2020-03-23T23:36:55Z,https://www.news.google.com/./articles/CAIiEJmvybEmw9CBxiIrgWZUAm4qGQgEKhAIACoHCAow2Nb3CjDivdcCMP3ungY?hl=en-IN&gl=IN&ceid=IN%3Aen
8,None,None,None,None
9,"Reliance Jio offers free internet; Airtel, Voda-Idea promise normal internet for work from home needs","Vodafone, Airtel and Reliance Jio have come up with some great set of internet plans that surprisingly don't cost a fortune.",2020-03-25T03:52:09Z,https://www.news.google.com/./articles/CAIiEJHMIxm3tBulEDrC8kV3pq4qGQgEKhAIACoHCAowot7cCjD8xM4BMJTu8gU?hl=en-IN&gl=IN&ceid=IN%3Aen
10,"Rupee rises against US dollar, a day after hitting record low","Fitch Solutions on Tuesday revised down its forecast for the Indian rupee, saying the currency will average 77 per US dollar in 2020 and 80 in 2021 amid ...",2020-03-24T09:24:25Z,https://www.news.google.com/./articles/CBMijgFodHRwczovL3d3dy5kZWNjYW5oZXJhbGQuY29tL2J1c2luZXNzL2J1c2luZXNzLW5ld3MvaW5kaWFuLXJ1cGVlLXRvLWF2ZXJhZ2UtYXQtNzctcGVyLXVzLWRvbGxhci1pbi0yMDIwLTgwLWluLTIwMjEtZml0Y2gtc29sdXRpb25zLTgxNzE0My5odG1s0gGSAWh0dHBzOi8vd3d3LmRlY2NhbmhlcmFsZC5jb20vYW1wL2J1c2luZXNzL2J1c2luZXNzLW5ld3MvaW5kaWFuLXJ1cGVlLXRvLWF2ZXJhZ2UtYXQtNzctcGVyLXVzLWRvbGxhci1pbi0yMDIwLTgwLWluLTIwMjEtZml0Y2gtc29sdXRpb25zLTgxNzE0My5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen
11,YouTube to limit video quality globally for a month,Last week we got word that YouTube was planning on defaulting all videos to SD (standard definition) aka 480p in Europe because apparently networks can't ...,2020-03-25T03:12:02Z,https://www.news.google.com/./articles/CBMib2h0dHBzOi8vd3d3LmdzbWFyZW5hLmNvbS95b3V0dWJlX3dpbGxfZGVmYXVsdF90b19zdGFuZGFyZF9kZWZpbml0aW9uX3ZpZGVvX3dvcmxkd2lkZV9mb3JfYV9tb250aC1uZXdzLTQyMjIwLnBocNIBbGh0dHBzOi8vbS5nc21hcmVuYS5jb20veW91dHViZV93aWxsX2RlZmF1bHRfdG9fc3RhbmRhcmRfZGVmaW5pdGlvbl92aWRlb193b3JsZHdpZGVfZm9yX2FfbW9udGgtYW1wLTQyMjIwLnBocA?hl=en-IN&gl=IN&ceid=IN%3Aen
